"unitPrice","retailPrice","term","skuId","armSkuName","productName","skuName"
"0.8590368","0.8590368","1 Year","DZH318Z0BQ4J/005L","Standard_H8","Virtual Machines H Series","H8"
"0.063112","0.063112","3 Years","DZH318Z08M9W/0092","Standard_D2s_v5","Virtual Machines Dsv5 Series","Standard_D2s_v5"
"0.087906","0.087906","1 Year","DZH318Z08M9W/0092","Standard_D2s_v5","Virtual Machines Dsv5 Series","Standard_D2s_v5"
"0.5923072","0.5923072","3 Years","DZH318Z08MC2/001T","Standard_D16d_v5","Virtual Machines Ddv5 Series","Standard_D16d_v5"
"0.8299264","0.8299264","1 Year","DZH318Z08MC2/001T","Standard_D16d_v5","Virtual Machines Ddv5 Series","Standard_D16d_v5"
"0.719568","0.719568","3 Years","DZH318Z0CM2D/000L","Standard_E20as_v4","Virtual Machines Easv4 Series","E20as v4"
"1.027824","1.027824","1 Year","DZH318Z0CM2D/000L","Standard_E20as_v4","Virtual Machines Easv4 Series","E20as v4"
"0.719568","0.719568","3 Years","DZH318Z0CM29/0033","Standard_E20a_v4","Virtual Machines Eav4 Series","E20a v4"
"1.027824","1.027824","1 Year","DZH318Z0CM29/0033","Standard_E20a_v4","Virtual Machines Eav4 Series","E20a v4"
"0.1531512","0.1531512","3 Years","DZH318Z09LR5/007N","Standard_E4bs_v5","Virtual Machines Ebsv5 Series","Standard_E4bs_v5"
"0.243148","0.243148","1 Year","DZH318Z09LR5/007N","Standard_E4bs_v5","Virtual Machines Ebsv5 Series","Standard_E4bs_v5"
"0.694784","0.694784","3 Years","DZH318Z092SD/003D","Standard_D32ps_v5","Virtual Machines Dpsv5 Series","Standard_D32ps_v5"
"1.0477696","1.0477696","1 Year","DZH318Z092SD/003D","Standard_D32ps_v5","Virtual Machines Dpsv5 Series","Standard_D32ps_v5"
"0.077919","0.077919","3 Years","DZH318Z0BQ4P/00FH","Standard_F2s","Virtual Machines FS Series","F2s"
"0.0987354","0.0987354","1 Year","DZH318Z0BQ4P/00FH","Standard_F2s","Virtual Machines FS Series","F2s"
"0.077919","0.077919","3 Years","DZH318Z0BQ51/00K6","Standard_F2","Virtual Machines F Series","F2"
