"skuId","retailPrice","productName","armSkuName","skuName"
"DZH318Z0BQ4C/010J","0.0136","Virtual Machines DSv2 Series","Standard_DS1_v2","DS1 v2 Low Priority"
"DZH318Z0BXND/000D","0.121","Virtual Machines DCS Series Windows","Standard_DC2s","DC2s Low Priority"
"DZH318Z09B60/004C","0.192","ECadsv5-series Windows","Standard_EC4ads_v5","Standard_EC4ads_v5 Low Priority"
"DZH318Z092SC/006F","0.3216","Virtual Machines Dpdsv5 Series Windows","Standard_D32pds_v5","Standard_D32pds_v5 Spot"
"DZH318Z092SG/00N4","0.736","Virtual Machines Epdsv5 Series Windows","Standard_E16pds_v5","Standard_E16pds_v5 Low Priority"
"DZH318Z0BQP2/0022","5.549","Virtual Machines NC Series Windows","Standard_NC24","NC24"
"DZH318Z0CSHK/00FT","0.277","Virtual Machines Edsv4 Series","Standard_E16-4ds_v4","E16-4ds v4 Low Priority"
"DZH318Z0CM92/017Z","0.781","Virtual Machines Easv4 Series Windows","Standard_E16-8as_v4","E16-8as_v4 Low Priority"
"DZH318Z0BQ34/0388","0.039795","Virtual Machines Dv2 Series","Standard_D12_v2","D12 v2 Spot"
"DZH318Z093XK/016B","1.552398","Virtual Machines Easv5 Series Windows","Standard_E96ias_v5","E96ias v5 Spot"
"DZH318Z08NRF/001Z","3.264","DCdsv3 Series Linux","Standard_DC24ds_v3","standard_D24ds_v3"
"DZH318Z0BPW5/0031","24.562","Virtual Machines MS Series Windows","Standard_M128s","M128s"
"DZH318Z08NRD/0033","0.037747","DCdsv3 Series Windows","Standard_DC1ds_v3","standard_DC1ds_v3 Spot"
"DZH318Z0K9JF/022M","0.02","Virtual Machines Basv2 Series Windows","Standard_B2ats_v2","B2ats v2"
"DZH318Z0CGPD/000Q","0.0291","Virtual Machines NVasv4 Series","Standard_NV4as_v4","NV4as v4 Spot"
"DZH318Z0BPVN/02HR","0.214099","Virtual Machines ESv3 Series Windows","Standard_E16-8s_v3","E16-8s v3 Spot"
"DZH318Z09B62/0013","1.48","ECadsv5-series Linux","Standard_EC20ads_v5","Standard_EC20ads_v5"
"DZH318Z0BDCG/006S","1","Virtual Machines ECadsccv5 Series Windows","Standard_EC8ads_cc_v5","Standard_EC8ads_cc_v5"
"DZH318Z0CSHB/00JW","0.53","Virtual Machines Edsv4 Series Windows","Standard_E4ds_v4","E4ds v4"
"DZH318Z0BQPW/02WG","0.11697","Virtual Machines DSv2 Series Windows","Standard_DS13_v2","DS13 v2 Spot"
"DZH318Z09LQN/001N","1.525306","Virtual Machines Ebdsv5 Series Windows","Standard_E64bds_v5","Standard_E64bds_v5 Spot"
"DZH318Z0CGPP/0008","6.533935","Virtual Machines NDrSv2 Series Windows","Standard_ND40rs_v2","ND40rs v2 Spot"
"DZH318Z0BPVJ/014Z","0.352172","Virtual Machines A Series Windows","Standard_A6","A6 Spot"
"DZH318Z0BPSN/00FD","0.07","Virtual Machines GS Series","Standard_GS1","GS1 Spot"
"DZH318Z0BPX4/000B","5.6156","Virtual Machines NDS Series Windows","Standard_ND24rs","ND24rs Low Priority"
"DZH318Z0CM2D/023B","0.0608","Virtual Machines Easv4 Series","Standard_E8-2as_v4","E8-2as_v4 Spot"
"DZH318Z0D1L6/00N1","2.189","Virtual Machines Ddv4 Series Windows","Standard_D48d_v4","D48d v4 Low Priority"
"DZH318Z0CSHL/0065","3.648","Virtual Machines Esv4 Series","Standard_E48s_v4","E48s v4"
"DZH318Z0C0XF/0006","0.57","Virtual Machines NVSv3 Series","Standard_NV24s_v3","NV24s v3 Low Priority"
"DZH318Z0K9JF/022N","0.0956","Virtual Machines Basv2 Series Windows","Standard_B2as_v2","B2as v2"
"DZH318Z0BQPW/0249","0.11697","Virtual Machines DSv2 Series Windows","Standard_DS13-4_v2","DS13-4 v2 Spot"
"DZH318Z08W2R/002B","0.1","Virtual Machines Dadsv5 Series","Standard_D8ads_v5","Standard_D8ads_v5 Low Priority"
"DZH318Z093WX/016K","0.133253","Virtual Machines Eadsv5 Series Windows","Standard_E8-4ads_v5","E8-4ads v5 Spot"
"DZH318Z08NQZ/0014","7.728","DCsv3 Series Windows","Standard_DC48s_v3","standard_DC48s_v3"
"DZH318Z08M9H/00K9","0.323788","Virtual Machines Ev5 Series Windows","Standard_E20_v5","Standard_E20_v5 Spot"
"DZH318Z0BXNZ/00J9","0.362497","Virtual Machines HBS Series","Standard_HB60-45rs","HB60-45rs Spot"
"DZH318Z08Q74/0022","0.254","Virtual Machines FX Series Windows","Standard_FX4mds","Standard_FX4mds Low Priority"
"DZH318Z092S8/005G","0.0214","Virtual Machines Epsv5 Series Windows","Standard_E2ps_v5","Standard_E2ps_v5 Spot"
"DZH318Z0CGPM/000P","0.387804","Virtual Machines NVasv4 Series Windows","Standard_NV32as_v4","NV32as v4 Spot"
"DZH318Z0BQ4J/00DL","0.2767","Virtual Machines H Series","Standard_H16m","H16m Spot"
"DZH318Z0CGR8/00G6","0.693576","Virtual Machines HBSv2 Series","Standard_HB120-96rs_v2","Standard_HB120-96rs_v2 Spot"
"DZH318Z0BPWJ/010M","0.148248","Virtual Machines FSv2 Series Windows","Standard_F16s_v2","F16s v2 Spot"
"DZH318Z08M9W/0098","2.76","Virtual Machines Dsv5 Series","Standard_D48s_v5","Standard_D48s_v5"
"DZH318Z0BQ4J/00DF","0.1383","Virtual Machines H Series","Standard_H8m","H8m Spot"
"DZH318Z0BX5L/0339","44.3","Virtual Machines MSv2 Series","Standard_M192ims_v2","M192ims_v2"
"DZH318Z093XK/0166","4.397","Virtual Machines Easv5 Series Windows","Standard_E96as_v5","E96as v5 Low Priority"
"DZH318Z08M9B/00FZ","0.888","Virtual Machines Dldsv5 Series","Standard_D16lds_v5","D16lds v5"
"DZH318Z0BQM3/0035","7.44","Virtual Machines LSv2 Series","Standard_L80s_v2","L80s v2"
"DZH318Z0BX63/01X6","21.253","Virtual Machines MSv2 Series Windows","Standard_M192ims_v2","M192ims_v2 Low Priority"
"DZH318Z0BP4M/0012","6.558","Virtual Machines NCSv3 Series Windows","Standard_NC24s_v3","NC24s v3 Low Priority"
"DZH318Z09LR4/006J","2.592","Virtual Machines Ebsv5 Series Windows","Standard_E48bs_v5","Standard_E48bs_v5 Low Priority"
"DZH318Z09LQN/001G","9.312","Virtual Machines Ebdsv5 Series Windows","Standard_E64bds_v5","Standard_E64bds_v5"
"DZH318Z0CP07/005N","0.041441","Virtual Machines Dsv4 Series Windows","Standard_D4s_v4","D4s v4 Spot"
"DZH318Z09LQN/0068","0.233","Virtual Machines Ebdsv5 Series Windows","Standard_E4bds_v5","Standard_E4bds_v5 Low Priority"
"DZH318Z096SR/02GG","0.031707","Virtual Machines Esv5 Series","Standard_E4-2s_v5","E4-2s v5 Spot"
"DZH318Z0K803/003F","3.648","Virtual Machines DCedsv5 Series Windows","Standard_DC32eds_v5","DC32edsv5"
"DZH318Z0CM2C/001R","1.84","Virtual Machines Dasv4 Series","Standard_D32as_v4","D32as v4"
"DZH318Z0CM2B/000K","1.84","Virtual Machines Dav4 Series","Standard_D32a_v4","D32a v4"
"DZH318Z0D1L7/00Z9","0.0304","Virtual Machines Ev4 Series","Standard_E2_v4","E2 v4 Low Priority"
"DZH318Z0K804/0046","0.218","Virtual Machines DCedsv5 Series","Standard_DC16eds_v5","DC16edsv5 Low Priority"
"DZH318Z0K9JH/006H","0.1224","Virtual Machines Basv2 Series","Standard_B8als_v2","B8als v2 Spot"
"DZH318Z0K9JH/006C","0.612","Virtual Machines Basv2 Series","Standard_B16als_v2","B16als v2"
"DZH318Z08MC6/006G","0.226957","Virtual Machines Ddsv5 Series","Standard_D32ds_v5","Standard_D32ds_v5 Spot"
"DZH318Z0BDCH/006F","1.011","Virtual Machines ECadsccv5 Series","Standard_EC64ads_cc_v5","Standard_EC64ads_cc_v5 Low Priority"
"DZH318Z08M9K/0093","0.0756","Virtual Machines Dlsv5 Series Windows","Standard_D2ls_v5","D2ls v5 Low Priority"
"DZH318Z0D1L2/000W","0.327379","Virtual Machines Ddv4 Series","Standard_D48d_v4","D48d v4 Spot"
"DZH318Z08W0T/004H","0.0416","Virtual Machines Dasv5 Series","Standard_D4as_v5","Standard_D4as_v5 Low Priority"
"DZH318Z0CSHC/00CP","0.976","Virtual Machines Esv4 Series Windows","Standard_E8s_v4","E8s v4"
"DZH318Z0K7D1/0031","0","Virtual Machines Mdsv3 Medium Memory Series Windows","Standard_M48ds_1_v3","Standard_M48ds_1_v3"
"DZH318Z08M9T/005V","0.219751","Virtual Machines Dsv5 Series Windows","Standard_D16s_v5","Standard_D16s_v5 Spot"
"DZH318Z0BQ51/00BP","0.909","Virtual Machines F Series","Standard_F16","F16"
"DZH318Z0BQ4P/00HD","0.909","Virtual Machines FS Series","Standard_F16s","F16s"
